N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.05,0,=D3 - D2
3,Optimal,0.05,0,=D4 - D3
4,Optimal,0.09,0,=D5 - D4
5,Optimal,0.02,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.11,0,=D8 - D7
8,Optimal,0.16,0,=D9 - D8
9,Optimal,0.05,0,=D10 - D9
10,Optimal,0.06,0,=D11 - D10
11,Optimal,0.11,0,=D12 - D11
12,Optimal,0.11,0,=D13 - D12
13,Optimal,0.06,0,=D14 - D13
14,Optimal,0.11,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.16,0,=D17 - D16
17,Optimal,0.13,0,=D18 - D17
18,Optimal,0.05,0,=D19 - D18
19,Optimal,0.06,0,=D20 - D19
20,Optimal,0.09,0,=D21 - D20
21,Optimal,0.03,0,=D22 - D21
22,Optimal,0.02,0,=D23 - D22
23,Optimal,0.11,0,=D24 - D23
24,Optimal,0.13,0,=D25 - D24
25,Optimal,0.11,0,=D26 - D25
26,Optimal,0.13,0,=D27 - D26
27,Optimal,0.06,0,=D28 - D27
28,Optimal,0.06,0,=D29 - D28
29,Optimal,0.11,0,=D30 - D29
30,Optimal,0.06,0,=D31 - D30
31,Optimal,0.05,0,=D32 - D31
32,Optimal,0.05,0,=D33 - D32
33,Optimal,0.05,0,=D34 - D33
34,Optimal,0.05,0,=D35 - D34
35,Optimal,0.05,0,=D36 - D35
36,Optimal,0.09,0,=D37 - D36
37,Optimal,0.05,0,=D38 - D37
38,Optimal,1.33,180,=D39 - D38
39,Feasible,21600.16,360,=D40 - D39
40,Feasible,21600.20,540,=D41 - D40
41,Feasible,21600.19,720,=D42 - D41
42,Feasible,21600.23,900,=D43 - D42
43,Feasible,21600.38,1080,=D44 - D43
44,Optimal,13894.59,1260,=D45 - D44
45,Feasible,21600.17,1440,=D46 - D45
46,Feasible,21600.17,1620,=D47 - D46
47,Optimal,927.97,1800,=D48 - D47
48,Optimal,645.38,1980,=D49 - D48
49,Optimal,3841.64,2160,=D50 - D49
50,Optimal,198.70,2340,=D51 - D50
51,Optimal,98.61,2520,=D52 - D51
52,Optimal,126.47,2700,=D53 - D52
53,Optimal,100.17,2880,=D54 - D53
54,Optimal,113.30,3060,=D55 - D54
55,Optimal,17.58,3240,=D56 - D55
56,Optimal,106.08,3420,=D57 - D56
57,Optimal,99.88,3600,=D58 - D57
58,Optimal,21.58,3780,=D59 - D58
59,Optimal,20.36,3960,=D60 - D59
60,Optimal,20.23,4140,=D61 - D60
61,Optimal,19.06,4320,=D62 - D61
62,Optimal,17.44,4500,=D63 - D62
63,Optimal,21.42,4680,=D64 - D63
64,Optimal,19.38,4860,=D65 - D64
65,Optimal,24.06,5040,=D66 - D65
66,Optimal,22.39,5220,=D67 - D66
67,Optimal,10.92,5400,=D68 - D67
68,Optimal,25.23,5580,=D69 - D68
69,Optimal,9.92,5760,=D70 - D69
70,Optimal,20.05,5940,=D71 - D70
71,Optimal,26.53,6120,=D72 - D71
72,Optimal,12.56,6300,=D73 - D72
73,Optimal,32.36,6480,=D74 - D73
74,Optimal,30.92,6660,=D75 - D74
75,Optimal,21.73,7020,=D76 - D75
76,Optimal,28.00,7380,=D77 - D76
