N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.08,0,=D3 - D2
3,Optimal,0.11,0,=D4 - D3
4,Optimal,0.08,0,=D5 - D4
5,Optimal,0.08,0,=D6 - D5
6,Optimal,0.11,0,=D7 - D6
7,Optimal,0.13,0,=D8 - D7
8,Optimal,0.06,0,=D9 - D8
9,Optimal,0.14,0,=D10 - D9
10,Optimal,0.06,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.11,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.08,0,=D15 - D14
15,Optimal,0.11,0,=D16 - D15
16,Optimal,0.06,0,=D17 - D16
17,Optimal,0.06,0,=D18 - D17
18,Optimal,0.13,0,=D19 - D18
19,Optimal,0.08,0,=D20 - D19
20,Optimal,0.09,0,=D21 - D20
21,Optimal,0.13,0,=D22 - D21
22,Optimal,0.06,0,=D23 - D22
23,Optimal,0.06,0,=D24 - D23
24,Optimal,0.06,0,=D25 - D24
25,Optimal,0.08,0,=D26 - D25
26,Optimal,0.08,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.05,0,=D29 - D28
29,Optimal,0.05,0,=D30 - D29
30,Optimal,0.09,0,=D31 - D30
31,Optimal,0.20,0,=D32 - D31
32,Optimal,0.13,0,=D33 - D32
33,Optimal,0.05,0,=D34 - D33
34,Optimal,0.05,0,=D35 - D34
35,Optimal,0.11,0,=D36 - D35
36,Optimal,0.08,0,=D37 - D36
37,Optimal,0.20,0,=D38 - D37
38,Optimal,1.23,8,=D39 - D38
39,Feasible,21600.30,22,=D40 - D39
40,Feasible,21600.22,36,=D41 - D40
41,Feasible,21600.16,50,=D42 - D41
42,Feasible,21600.36,64,=D43 - D42
43,Feasible,21600.17,78,=D44 - D43
44,Feasible,21600.27,92,=D45 - D44
45,Feasible,21600.38,106,=D46 - D45
46,Feasible,21600.67,120,=D47 - D46
47,Feasible,21600.56,134,=D48 - D47
48,Feasible,21601.56,148,=D49 - D48
49,Feasible,21615.92,162,=D50 - D49
50,Feasible,21621.80,176,=D51 - D50
51,Feasible,21610.73,190,=D52 - D51
52,Feasible,21623.27,204,=D53 - D52
53,Optimal,242.84,218,=D54 - D53
54,Optimal,463.23,232,=D55 - D54
55,Feasible,21605.28,246,=D56 - D55
56,Optimal,573.83,260,=D57 - D56
57,Optimal,696.63,282,=D58 - D57
58,Optimal,340.25,304,=D59 - D58
59,Optimal,421.92,326,=D60 - D59
60,Optimal,1060.56,348,=D61 - D60
61,Optimal,407.09,370,=D62 - D61
62,Optimal,927.25,392,=D63 - D62
63,Optimal,3131.84,414,=D64 - D63
64,Optimal,754.53,436,=D65 - D64
65,Optimal,813.44,458,=D66 - D65
66,Optimal,784.13,480,=D67 - D66
67,Optimal,1005.81,502,=D68 - D67
68,Optimal,325.78,524,=D69 - D68
69,Optimal,305.05,546,=D70 - D69
70,Optimal,457.48,568,=D71 - D70
71,Optimal,325.84,590,=D72 - D71
72,Optimal,275.09,612,=D73 - D72
73,Optimal,341.64,634,=D74 - D73
74,Optimal,170.86,656,=D75 - D74
75,Optimal,190.58,684,=D76 - D75
76,Optimal,258.38,722,=D77 - D76
77,Optimal,196.16,760,=D78 - D77
78,Optimal,216.19,798,=D79 - D78
79,Optimal,427.73,836,=D80 - D79
80,Optimal,163.14,874,=D81 - D80
81,Optimal,156.03,912,=D82 - D81
82,Optimal,121.67,950,=D83 - D82
83,Optimal,264.98,988,=D84 - D83
84,Optimal,171.50,1026,=D85 - D84
85,Optimal,341.58,1064,=D86 - D85
86,Optimal,272.66,1102,=D87 - D86
87,Optimal,244.31,1140,=D88 - D87
88,Optimal,192.88,1178,=D89 - D88
89,Optimal,360.98,1216,=D90 - D89
90,Optimal,73.48,1254,=D91 - D90
91,Optimal,110.16,1300,=D92 - D91
92,Optimal,90.45,1346,=D93 - D92
93,Optimal,69.48,1392,=D94 - D93
94,Optimal,74.09,1438,=D95 - D94
95,Optimal,74.80,1484,=D96 - D95
96,Optimal,83.03,1530,=D97 - D96
97,Optimal,61.73,1576,=D98 - D97
98,Optimal,72.00,1622,=D99 - D98
99,Optimal,60.61,1668,=D100 - D99
100,Optimal,56.31,1714,=D101 - D100
101,Optimal,47.67,1760,=D102 - D101
102,Optimal,39.84,1806,=D103 - D102
103,Optimal,29.69,1852,=D104 - D103
104,Optimal,20.89,1898,=D105 - D104
105,Optimal,13.63,1944,=D106 - D105
106,Optimal,9.02,2098,=D107 - D106
107,Optimal,11.69,2274,=D108 - D107
108,Optimal,11.47,2464,=D109 - D108
109,Optimal,10.80,2664,=D110 - D109
110,Optimal,12.98,2872,=D111 - D110
111,Optimal,10.61,3132,=D112 - D111
112,Optimal,11.45,3392,=D113 - D112
113,Optimal,13.56,3652,=D114 - D113
114,Optimal,12.45,3912,=D115 - D114
115,Optimal,22.20,4202,=D116 - D115
116,Optimal,22.16,4492,=D117 - D116
117,Optimal,27.98,4784,=D118 - D117
118,Optimal,23.83,5076,=D119 - D118
119,Optimal,27.06,5368,=D120 - D119
120,Optimal,21.08,5660,=D121 - D120
121,Optimal,25.03,5952,=D122 - D121
122,Optimal,22.77,6244,=D123 - D122
123,Optimal,19.44,6536,=D124 - D123
124,Optimal,20.36,6828,=D125 - D124
125,Optimal,24.17,7120,=D126 - D125
126,Optimal,21.52,7412,=D127 - D126
127,Optimal,24.63,7704,=D128 - D127
128,Optimal,19.42,7996,=D129 - D128
129,Optimal,23.52,8288,=D130 - D129
130,Optimal,19.81,8580,=D131 - D130
131,Optimal,22.44,8872,=D132 - D131
132,Optimal,17.70,9164,=D133 - D132
133,Optimal,28.30,9456,=D134 - D133
134,Optimal,22.13,9748,=D135 - D134
135,Optimal,18.84,10040,=D136 - D135
136,Optimal,21.13,10332,=D137 - D136
137,Optimal,22.64,10624,=D138 - D137
138,Optimal,22.34,10916,=D139 - D138
139,Optimal,21.13,11208,=D140 - D139
140,Optimal,19.70,11500,=D141 - D140
141,Optimal,23.56,11792,=D142 - D141
142,Optimal,21.63,12084,=D143 - D142
143,Optimal,20.16,12376,=D144 - D143
144,Optimal,14.17,12674,=D145 - D144
145,Optimal,10.22,12972,=D146 - D145
146,Optimal,12.89,13304,=D147 - D146
147,Optimal,17.55,13638,=D148 - D147
148,Optimal,15.17,13972,=D149 - D148
149,Optimal,20.02,14306,=D150 - D149
150,Optimal,17.59,14640,=D151 - D150
151,Optimal,19.48,14974,=D152 - D151
152,Optimal,20.28,15308,=D153 - D152
153,Optimal,21.64,15642,=D154 - D153
154,Optimal,22.95,15976,=D155 - D154
155,Optimal,22.59,16310,=D156 - D155
156,Optimal,25.56,16644,=D157 - D156
157,Optimal,27.41,16978,=D158 - D157
158,Optimal,21.61,17312,=D159 - D158
159,Optimal,25.34,17646,=D160 - D159
160,Optimal,26.94,17988,=D161 - D160
161,Optimal,25.39,18330,=D162 - D161
162,Optimal,22.86,18672,=D163 - D162
163,Optimal,25.69,19014,=D164 - D163
164,Optimal,24.06,19356,=D165 - D164
165,Optimal,24.55,19698,=D166 - D165
166,Optimal,21.95,20040,=D167 - D166
167,Optimal,24.56,20382,=D168 - D167
168,Optimal,18.70,20724,=D169 - D168
169,Optimal,18.38,21066,=D170 - D169
170,Optimal,15.42,21408,=D171 - D170
171,Optimal,16.22,21750,=D172 - D171
172,Optimal,52.36,22092,=D173 - D172
173,Optimal,27.44,22440,=D174 - D173
174,Optimal,13.70,22802,=D175 - D174
175,Optimal,14.33,23164,=D176 - D175
176,Optimal,17.36,23526,=D177 - D176
177,Optimal,25.38,23888,=D178 - D177
178,Optimal,20.64,24250,=D179 - D178
179,Optimal,6.14,24612,=D180 - D179
180,Optimal,17.09,24974,=D181 - D180
181,Optimal,31.61,25336,=D182 - D181
182,Optimal,12.97,25698,=D183 - D182
183,Optimal,11.11,26060,=D184 - D183
184,Optimal,12.56,26422,=D185 - D184
185,Optimal,4.52,26784,=D186 - D185
186,Optimal,0.28,27146,=D187 - D186
187,Optimal,0.28,27516,=D188 - D187
188,Optimal,0.27,27886,=D189 - D188
189,Optimal,0.28,28256,=D190 - D189
190,Optimal,0.59,28626,=D191 - D190
191,Optimal,0.08,28996,=D192 - D191
192,Optimal,0.30,29366,=D193 - D192
193,Optimal,0.23,29736,=D194 - D193
194,Optimal,0.17,30106,=D195 - D194
195,Optimal,0.33,30476,=D196 - D195
196,Optimal,0.11,30846,=D197 - D196
197,Optimal,0.16,31216,=D198 - D197
198,Optimal,0.17,31586,=D199 - D198
199,Optimal,0.02,31956,=D200 - D199
