N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.00,0
2,Optimal,0.05,0,=D3 - D2
3,Optimal,0.05,0,=D4 - D3
4,Optimal,0.00,0,=D5 - D4
5,Optimal,0.08,0,=D6 - D5
6,Optimal,0.03,0,=D7 - D6
7,Optimal,0.02,0,=D8 - D7
8,Optimal,0.02,0,=D9 - D8
9,Optimal,0.00,0,=D10 - D9
10,Optimal,0.59,8,=D11 - D10
11,Optimal,116.42,16,=D12 - D11
12,Optimal,74.81,24,=D13 - D12
13,Optimal,118.06,32,=D14 - D13
14,Optimal,78.28,40,=D15 - D14
15,Optimal,72.09,48,=D16 - D15
16,Optimal,147.34,56,=D17 - D16
17,Optimal,143.58,64,=D18 - D17
18,Optimal,53.78,72,=D19 - D18
19,Optimal,90.86,94,=D20 - D19
20,Optimal,54.72,116,=D21 - D20
21,Optimal,45.92,138,=D22 - D21
22,Optimal,44.86,160,=D23 - D22
23,Optimal,38.83,182,=D24 - D23
24,Optimal,34.45,204,=D25 - D24
25,Optimal,46.53,226,=D26 - D25
26,Optimal,22.94,248,=D27 - D26
27,Optimal,13.78,270,=D28 - D27
28,Optimal,12.91,300,=D29 - D28
29,Optimal,9.86,330,=D30 - D29
30,Optimal,14.98,360,=D31 - D30
31,Optimal,18.31,390,=D32 - D31
32,Optimal,14.02,420,=D33 - D32
33,Optimal,4.06,450,=D34 - D33
34,Optimal,1.59,480,=D35 - D34
35,Optimal,0.50,510,=D36 - D35
36,Optimal,1.67,642,=D37 - D36
37,Optimal,0.36,788,=D38 - D37
38,Optimal,0.75,948,=D39 - D38
39,Optimal,0.89,1226,=D40 - D39
40,Optimal,2.13,1518,=D41 - D40
41,Optimal,3.55,1810,=D42 - D41
42,Optimal,5.16,2102,=D43 - D42
43,Optimal,13.30,2394,=D44 - D43
44,Optimal,15.13,2686,=D45 - D44
45,Optimal,12.50,2978,=D46 - D45
46,Optimal,19.19,3270,=D47 - D46
47,Optimal,12.20,3562,=D48 - D47
48,Optimal,14.80,3862,=D49 - D48
49,Optimal,10.06,4162,=D50 - D49
50,Optimal,27.81,4462,=D51 - D50
51,Optimal,32.53,4762,=D52 - D51
52,Optimal,24.45,5062,=D53 - D52
53,Optimal,16.63,5362,=D54 - D53
54,Optimal,13.27,5662,=D55 - D54
55,Optimal,12.44,5968,=D56 - D55
56,Optimal,23.23,6282,=D57 - D56
57,Optimal,12.08,6596,=D58 - D57
58,Optimal,18.69,6910,=D59 - D58
59,Optimal,17.61,7224,=D60 - D59
60,Optimal,15.98,7538,=D61 - D60
61,Optimal,7.69,7852,=D62 - D61
62,Optimal,0.06,8166,=D63 - D62
63,Optimal,0.09,8488,=D64 - D63
64,Optimal,0.05,8810,=D65 - D64
65,Optimal,0.02,9132,=D66 - D65
66,Optimal,0.02,9454,=D67 - D66
67,Optimal,0.00,9776,=D68 - D67
68,Optimal,0.09,10098,=D69 - D68
69,Optimal,0.00,10420,=D70 - D69
