N,Optimal/Feasible,Time,Risk,Marginal
1,Optimal,0.02,0
2,Optimal,0.03,0,=D3 - D2
3,Optimal,0.05,0,=D4 - D3
4,Optimal,0.03,0,=D5 - D4
5,Optimal,0.03,0,=D6 - D5
6,Optimal,0.05,0,=D7 - D6
7,Optimal,0.05,0,=D8 - D7
8,Optimal,0.11,0,=D9 - D8
9,Optimal,0.05,0,=D10 - D9
10,Optimal,0.11,0,=D11 - D10
11,Optimal,0.05,0,=D12 - D11
12,Optimal,0.06,0,=D13 - D12
13,Optimal,0.05,0,=D14 - D13
14,Optimal,0.09,0,=D15 - D14
15,Optimal,0.03,0,=D16 - D15
16,Optimal,0.05,0,=D17 - D16
17,Optimal,0.05,0,=D18 - D17
18,Optimal,0.03,0,=D19 - D18
19,Optimal,0.08,0,=D20 - D19
20,Optimal,0.06,0,=D21 - D20
21,Optimal,0.11,0,=D22 - D21
22,Optimal,0.06,0,=D23 - D22
23,Optimal,0.09,0,=D24 - D23
24,Optimal,0.05,0,=D25 - D24
25,Optimal,0.05,0,=D26 - D25
26,Optimal,0.03,0,=D27 - D26
27,Optimal,0.05,0,=D28 - D27
28,Optimal,0.06,0,=D29 - D28
29,Optimal,0.05,0,=D30 - D29
30,Optimal,0.03,0,=D31 - D30
31,Optimal,0.03,0,=D32 - D31
32,Optimal,0.02,0,=D33 - D32
33,Optimal,0.03,0,=D34 - D33
34,Optimal,0.08,0,=D35 - D34
35,Optimal,0.05,0,=D36 - D35
36,Optimal,0.09,0,=D37 - D36
37,Optimal,0.06,0,=D38 - D37
38,Optimal,0.03,0,=D39 - D38
39,Optimal,0.05,0,=D40 - D39
40,Optimal,0.09,0,=D41 - D40
41,Optimal,0.05,0,=D42 - D41
42,Optimal,0.08,0,=D43 - D42
43,Optimal,0.03,0,=D44 - D43
44,Optimal,0.11,0,=D45 - D44
45,Optimal,0.05,0,=D46 - D45
46,Optimal,0.03,0,=D47 - D46
47,Optimal,0.06,0,=D48 - D47
48,Optimal,0.08,0,=D49 - D48
49,Optimal,0.13,0,=D50 - D49
50,Optimal,0.08,0,=D51 - D50
51,Optimal,0.09,0,=D52 - D51
52,Optimal,0.05,0,=D53 - D52
53,Optimal,0.08,0,=D54 - D53
54,Optimal,0.08,0,=D55 - D54
55,Optimal,0.11,0,=D56 - D55
56,Optimal,0.09,0,=D57 - D56
57,Optimal,0.03,0,=D58 - D57
58,Optimal,0.13,0,=D59 - D58
59,Optimal,0.16,0,=D60 - D59
60,Optimal,14.03,180,=D61 - D60
61,Optimal,85.58,360,=D62 - D61
62,Optimal,44.41,540,=D63 - D62
63,Optimal,70.45,720,=D64 - D63
64,Optimal,69.00,900,=D65 - D64
65,Optimal,4.81,1080,=D66 - D65
66,Optimal,32.61,1260,=D67 - D66
67,Optimal,41.88,1440,=D68 - D67
68,Optimal,72.16,1620,=D69 - D68
69,Optimal,67.31,1800,=D70 - D69
70,Optimal,16.77,1980,=D71 - D70
71,Optimal,109.58,2160,=D72 - D71
72,Optimal,223.70,2340,=D73 - D72
73,Optimal,119.72,2520,=D74 - D73
74,Optimal,94.70,2700,=D75 - D74
75,Optimal,38.89,2880,=D76 - D75
76,Optimal,14.45,3060,=D77 - D76
77,Optimal,27.95,3240,=D78 - D77
78,Optimal,17.72,3600,=D79 - D78
79,Optimal,85.39,3960,=D80 - D79
80,Optimal,22.73,4320,=D81 - D80
81,Optimal,30.34,4680,=D82 - D81
82,Optimal,8.44,5040,=D83 - D82
83,Optimal,17.08,5400,=D84 - D83
84,Optimal,9.00,5760,=D85 - D84
85,Optimal,11.45,6120,=D86 - D85
86,Optimal,8.83,6480,=D87 - D86
87,Optimal,5.30,6840,=D88 - D87
88,Optimal,10.11,7200,=D89 - D88
89,Optimal,11.17,7560,=D90 - D89
90,Optimal,9.23,7920,=D91 - D90
91,Optimal,5.80,8280,=D92 - D91
92,Optimal,5.80,8640,=D93 - D92
93,Optimal,6.47,9000,=D94 - D93
94,Optimal,4.17,9360,=D95 - D94
95,Optimal,6.38,9720,=D96 - D95
96,Optimal,5.33,10080,=D97 - D96
97,Optimal,6.03,10440,=D98 - D97
98,Optimal,5.64,10800,=D99 - D98
99,Optimal,8.53,11160,=D100 - D99
100,Optimal,7.06,11520,=D101 - D100
101,Optimal,5.70,11880,=D102 - D101
102,Optimal,4.63,12240,=D103 - D102
103,Optimal,4.69,12600,=D104 - D103
104,Optimal,6.45,12960,=D105 - D104
105,Optimal,5.84,13320,=D106 - D105
106,Optimal,4.97,13680,=D107 - D106
107,Optimal,5.75,14040,=D108 - D107
108,Optimal,4.61,14580,=D109 - D108
109,Optimal,5.95,15120,=D110 - D109
110,Optimal,6.73,15660,=D111 - D110
111,Optimal,6.20,16200,=D112 - D111
112,Optimal,6.66,16740,=D113 - D112
113,Optimal,6.77,17460,=D114 - D113
114,Optimal,3.11,18180,=D115 - D114
115,Optimal,23.70,18900,=D116 - D115
116,Optimal,19.80,19620,=D117 - D116
117,Optimal,18.50,20340,=D118 - D117
118,Optimal,28.61,21060,=D119 - D118
119,Optimal,31.80,21780,=D120 - D119
120,Optimal,35.67,22500,=D121 - D120
121,Optimal,18.09,23220,=D122 - D121
122,Optimal,13.75,23940,=D123 - D122
123,Optimal,7.25,24660,=D124 - D123
124,Optimal,36.69,25380,=D125 - D124
125,Optimal,156.86,26100,=D126 - D125
126,Optimal,98.72,26820,=D127 - D126
127,Optimal,71.59,27540,=D128 - D127
128,Optimal,95.39,28260,=D129 - D128
129,Optimal,5.28,28980,=D130 - D129
130,Optimal,4.61,29880,=D131 - D130
131,Optimal,7.72,30780,=D132 - D131
132,Optimal,0.03,31680,=D133 - D132
133,Optimal,5.17,32580,=D134 - D133
134,Optimal,5.36,33480,=D135 - D134
135,Optimal,5.98,34380,=D136 - D135
136,Optimal,4.97,35280,=D137 - D136
137,Optimal,0.03,36180,=D138 - D137
138,Optimal,8.56,37080,=D139 - D138
139,Optimal,0.03,37980,=D140 - D139
140,Optimal,0.05,38880,=D141 - D140
